plot,abundance,species,specieslowbar,genus,family,species.relative,genus.relative
1,2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
1,15,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
1,4,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
1,1,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
1,3,Erigeron strigosus,Erigeron_strigosus,Erigeron,Asteraceae,,
1,0.1,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
1,6,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
1,5,Panicum virgatum,Panicum_virgatum,Panicum,Poaceae,,
1,0.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
1,0.7,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
1,0.1,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
2,0.7,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
2,1.5,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
2,0.01,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
2,7,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
2,1,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
2,0.02,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
2,0.5,Helianthemum bicknellii,Helianthemum_bicknellii,Helianthemum,Cistaceae,,Helianthemum
2,18,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
2,0.01,Liatris aspera,Liatris_aspera,Liatris,Asteraceae,,
2,6,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
2,5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
2,0.8,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
2,0.2,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
3,1.5,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
3,0.3,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
3,2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
3,5,Andropogon gerardii,Andropogon_gerardii,Andropogon,Poaceae,,
3,0.7,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
3,2,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
3,1.1,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
3,2.5,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
3,0.01,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
3,0.1,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
3,8.5,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
3,15,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
3,3.7,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
3,1.1,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
4,0.1,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
4,2.5,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
4,3,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
4,3.5,Chondrosum gracile,Chondrosum_gracile,Chondrosum,Poaceae,,
4,0.1,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
4,0.6,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
4,1.3,Helianthemum bicknellii,Helianthemum_bicknellii,Helianthemum,Cistaceae,,Helianthemum
4,10,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
4,0.01,Mollugo verticillata,Mollugo_verticillata,Mollugo,Molluginaceae,,
4,9,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
4,4.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
4,3.3,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
4,0.5,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
5,0.3,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
5,2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
5,1.5,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
5,4,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
5,0.1,Digitaria ischaemum,Digitaria_ischaemum,Digitaria,Poaceae,,
5,1.3,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
5,0.9,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
5,15,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
5,4,Muhlenbergia racemosa,Muhlenbergia_racemosa,Muhlenbergia,Poaceae,,
5,8,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
5,5.1,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
5,0.3,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
5,1.5,Tragopogon dubius,Tragopogon_dubius,Tragopogon,Asteraceae,,
6,11,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
6,3.5,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
6,0.2,Asclepias syriaca,Asclepias_syriaca,Asclepias,Apocynaceae,,
6,4.5,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
6,0.4,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
6,1.5,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
6,22,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
6,15,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
6,0.5,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
7,0.2,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
7,0.3,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
7,1,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
7,4.7,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
7,2.5,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
7,0.2,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
7,18,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
7,0.3,Monarda fistulosa,Monarda_fistulosa,Monarda,Lamiaceae,,
7,10,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
7,0.1,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
8,1.1,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
8,0.5,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
8,3,Asclepias syriaca,Asclepias_syriaca,Asclepias,Apocynaceae,,
8,9,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
8,0.5,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
8,14,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
8,4,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
8,10,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
8,0.2,Rudbeckia hirta,Rudbeckia_hirta,Rudbeckia,Asteraceae,,Echinacea
9,3,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
9,2,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
9,3.1,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
9,8,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
9,0.2,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
9,1.3,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
9,18,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
9,0.1,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
9,3,Panicum virgatum,Panicum_virgatum,Panicum,Poaceae,,
9,2,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
9,2.5,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
9,0.1,Silene antirrhina,Silene_antirrhina,Silene,Caryophyllaceae,,
10,2.5,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
10,0.4,Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia,Asteraceae,,
10,1.6,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
10,2,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
10,0.01,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
10,0.5,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
10,2,Cyperus sp,Cyperus_sp,Cyperus,Cyperaceae,,Cyperus
10,0.5,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
10,0.5,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
10,27,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
10,3,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
10,3.5,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
10,1.3,Rumex acetosella,Rumex_acetosella,Rumex,Polygonaceae,,Rheum
10,3.5,Schizachyrium scoparium,Schizachyrium_scoparium,Schizachyrium,Poaceae,,
11,6,Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,
11,2.5,Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia,Asteraceae,,
11,5.5,Andropogon gerardii,Andropogon_gerardii,Andropogon,Poaceae,,
11,3.2,Aristida basiramea,Aristida_basiramea,Aristida,Poaceae,,Aristida
11,2,Berteroa incana,Berteroa_incana,Berteroa,Brassicaceae,,
11,1,Bromus inermis,Bromus_inermis,Bromus,Poaceae,,
11,1.1,Erigeron canadensis,Erigeron_canadensis,Erigeron,Asteraceae,,
11,0.2,Erigeron strigosus,Erigeron_strigosus,Erigeron,Asteraceae,,
11,2.7,Hedeoma hispida,Hedeoma_hispida,Hedeoma,Lamiaceae,,Hedeoma
11,12,Digitaria cognata,Digitaria_cognata,Digitaria,Poaceae,,Digitaria
11,4,Panicum oligosanthes,Panicum_oligosanthes,Panicum,Poaceae,,
11,0.6,Poa pratensis,Poa_pratensis,Poa,Poaceae,,Poa
