species,plot,treatment,plantnumber,leaf1i,leaf1f,leaf2i,leaf2f,leaf3i,leaf3f,leaf4i,leaf4f,leaf5i,leaf5f,height,meaninsect,meanfungal
Panvi,1,I,1,0,1,0,55,0,4,,,,,475,0,20
Panvi,1,I,2,0,1,0,0,0,2,,,,,436,0,1
Panvi,1,I,3,0,0,0,2,0,1,,,,,302,0,1
Panvi,1,I,4,0,1,0,0,0,1,0,3,,,415,0,1.25
Panvi,1,I,5,0,0,0,6,0,25,,,,,363,0,10.33333333
Panvi,1,I,6,0,25,0,1,0,3,0,0,,,421,0,7.25
Liaas,2,IF,3,1,0,16,0,,,,,,,46,8.5,0
Liaas,2,IF,4,10,0,,,,,,,,,11,10,0
Andge,3,I,1,0,4,0,0,0,0,0,0,0,1,166,0,1
Andge,3,I,2,0,0,0,4,0,4,0,0,0,7,217,0,3
Andge,3,I,4,0,0,0,0,0,12,0,0,0,0,261,0,2.4
Andge,3,I,5,0,0,0,0,0,4,0,0,0,1,250,0,1
Andge,3,I,6,0,3,0,0,0,2,,,,,231,0,1.666666667
Bougr,4,I,1,0,1,0,1,0,0,0,0,0,2,226,0,0.8
Bougr,4,I,2,0,5,0,0,0,2,4,1,0,0,193,0.8,1.6
Bougr,4,I,4,0,1,0,6,0,0,0,1,3,0,264,0.6,1.6
Bougr,4,I,5,0,2,0,1,0,1,0,0,0,0,200,0,0.8
Bougr,4,I,6,0,15,0,5,0,0,0,0,0,0,173,0,4
Muhra,5,I,1,0,20,0,1,0,0,0,1,0,4,105,0,5.2
Muhra,5,I,2,0,10,0,1,0,2,0,7,1,10,140,0.2,6
Muhra,5,I,3,0,5,0,2,0,1,0,0,0,1,212,0,1.8
Muhra,5,I,4,3,4,0,6,0,8,0,0,0,1,129,0.6,3.8
Muhra,5,I,5,0,2,0,3,0,1,0,0,0,9,76,0,3
Muhra,5,I,6,0,3,0,6,0,10,0,1,0,3,264,0,4.6
Ascsy,6,IF,1,0,0,0,0,0,0,2,5,,,66,0.5,1.25
Monfi,7,IF,1,0,0,0,0,0,6,0,0,12,3,56,2.4,1.8
Monfi,7,IF,2,0,1,0,0,0,5,0,0,0,4,57,0,2
Ascsy,8,I,1,0,1,0,3,0,3,0,4,1,1,121,0.2,2.4
Ascsy,8,I,2,0,0,0,0,0,2,0,1,,,50,0,0.75
Ascsy,8,I,3,0,0,0,1,0,0,0,0,0,3,111,0,0.8
Panvi,9,IF,1,3,1,0,0,0,0,0,15,,,300,0.75,4
Panvi,9,IF,2,0,2,0,2,0,0,0,0,,,336,0,1
Panvi,9,IF,3,0,1,0,1,0,0,0,0,,,129,0,0.5
Panvi,9,IF,4,0,0,2,0,0,0,0,1,0,0,345,0.4,0.2
Panvi,9,IF,5,0,6,0,0,0,5,0,2,0,8,357,0,4.2
Panvi,9,IF,6,0,0,0,8,0,3,0,2,0,0,415,0,2.6
Schsc,10,C,1,0,0,3,2,0,0,12,4,,,87,3.75,1.5
Schsc,10,C,2,0,7,0,3,0,2,0,0,0,5,174,0,3.4
Schsc,10,C,3,0,1,0,1,0,3,0,1,8,0,103,1.6,1.2
Schsc,10,C,4,0,1,0,12,,,,,,,205,0,6.5
Schsc,10,C,5,0,20,0,0,0,1,4,2,0,2,155,0.8,5
Schsc,10,C,6,0,1,0,0,0,0,0,6,0,25,126,0,6.4
Andge,11,IF,1,0,0,0,1,0,0,0,0,1,1,242,0.2,0.4
Andge,11,IF,2,0,2,0,1,0,0,0,0,0,16,206,0,3.8
Andge,11,IF,3,0,2,0,1,0,0,0,0,0,1,236,0,0.8
Andge,11,IF,4,0,0,0,0,0,0,0,0,,,149,0,0
Andge,11,IF,5,0,3,0,0,0,2,0,2,0,0,239,0,1.4
Andge,11,IF,6,0,2,0,0,0,1,0,3,0,1,216,0,1.4
Muhra,12,I,2,0,1,0,0,0,0,0,5,,,190,0,1.5
Muhra,12,I,3,0,4,0,1,0,2,,,,,228,0,2.333333333
Muhra,12,I,4,1,2,0,0,0,3,0,10,,,162,0.25,3.75
Andge,13,IF,1,0,1,0,1,0,0,0,0,0,0,291,0,0.4
Andge,13,IF,2,0,0,0,3,0,0,2,0,0,0,299,0.4,0.6
Andge,13,IF,3,0,3,0,0,0,0,,,,,278,0,1
Andge,13,IF,4,0,3,0,1,0,5,,,,,279,0,3
Andge,13,IF,5,0,1,0,0,0,1,0,0,0,5,193,0,1.4
Andge,13,IF,6,0,1,0,0,0,0,0,0,0,10,206,0,2.2
Asctu,14,C,1,0,0,0,0,70,0,0,0,0,0,109,14,0
Asctu,14,C,3,2,0,0,0,0,1,19,3,4,0,90,5,0.8
Asctu,14,C,6,0,0,0,0,3,0,5,1,0,2,84,1.6,0.6
Sornu,15,I,1,1,20,0,6,0,1,0,16,0,20,364,0.2,12.6
Sornu,15,I,2,0,30,3,7,0,3,0,0,0,2,270,0.6,8.4
Sornu,15,I,3,0,6,0,2,0,1,0,0,0,10,160,0,3.8
Sornu,15,I,4,0,22,0,0,0,3,0,10,0,0,255,0,7
Asctu,16,I,1,0,1,2,0,1,0,0,0,0,0,51,0.6,0.2
Asctu,16,I,2,3,0,0,0,0,0,0,2,2,2,69,1,0.8
Asctu,16,I,3,1,0,5,0,0,0,0,1,0,0,69,1.2,0.2
Asctu,16,I,4,0,3,0,1,0,0,6,0,2,1,50,1.6,1
