species,plot,treatment,plantnumber,leaf1i,leaf1f,leaf2i,leaf2f,leaf3i,leaf3f,leaf4i,leaf4f,leaf5i,leaf5f,height,meaninsect,meanfungal
Panvi,1,I,1,0,2,0,0,,,,,,,331,0,1
Panvi,1,I,2,0,6,1,5,0,0,,,,,403,0.333333333,3.666666667
Panvi,1,I,4,0,2,0,3,0,0,,,,,219,0,1.666666667
Panvi,1,I,5,0,2,0,6,,,,,,,365,0,4
Panvi,1,I,6,0,5,2,7,,,,,,,381,1,6
Liaas,2,IF,4,2,0,,,,,,,,,14,2,0
Andge,3,I,1,0,2,0,1,0,0,0,0,,,186,0,0.75
Andge,3,I,2,4,1,0,2,0,3,3,2,0,5,204,1.4,2.6
Andge,3,I,3,0,0,0,2,0,1,0,1,,,226,0,1
Andge,3,I,4,0,1,0,0,5,2,0,1,0,0,262,1,0.8
Andge,3,I,5,0,0,0,0,1,2,0,5,0,3,221,0.2,2
Andge,3,I,6,0,2,0,0,0,1,4,3,0,0,183,0.8,1.2
Bougr,4,I,1,0,0,0,0,0,0,0,0,0,1,290,0,0.2
Bougr,4,I,2,0,1,0,0,0,0,0,1,0,2,237,0,0.8
Bougr,4,I,3,0,0,0,0,0,0,0,0,0,1,213,0,0.2
Bougr,4,I,4,0,0,0,2,0,0,0,0,0,0,141,0,0.4
Bougr,4,I,5,0,1,0,0,0,0,0,0,0,0,156,0,0.2
Bougr,4,I,6,0,1,0,0,0,4,,,,,160,0,1.666666667
Muhra,5,I,1,0,4,0,2,0,0,0,2,0,1,204,0,1.8
Muhra,5,I,2,0,3,0,1,0,2,1,1,0,1,197,0.2,1.6
Muhra,5,I,3,0,7,0,0,0,0,0,2,0,0,228,0,1.8
Muhra,5,I,4,0,3,0,3,0,1,0,0,0,1,110,0,1.6
Muhra,5,I,5,0,2,0,0,0,12,0,1,0,0,255,0,3
Muhra,5,I,6,0,3,0,0,0,4,0,0,0,0,245,0,1.4
Ascsy,6,IF,1,0,0,1,2,0,0,0,0,0,0,80,0.2,0.4
Monfi,7,IF,1,0,1,1,0,0,0,0,0,3,0,56,0.8,0.2
Monfi,7,IF,4,3,1,0,0,0,0,0,0,1,0,108,0.8,0.2
Ascsy,8,I,1,0,2,0,0,0,0,0,0,0,0,84,0,0.4
Panvi,9,IF,1,0,1,0,0,5,2,0,0,,,356,1.25,0.75
Panvi,9,IF,2,0,1,0,0,0,2,0,0,,,110,0,0.75
Panvi,9,IF,3,0,1,0,0,0,0,,,,,216,0,0.333333333
Panvi,9,IF,4,1,1,0,1,,,,,,,280,0.5,1
Panvi,9,IF,5,0,1,0,3,1,1,0,4,0,0,372,0.2,1.8
Panvi,9,IF,6,0,1,0,0,0,2,,,,,428,0,1
Schsc,10,C,2,0,20,0,2,0,0,0,2,0,5,150,0,5.8
Schsc,10,C,3,0,1,75,5,0,1,0,3,0,1,144,15,2.2
Schsc,10,C,4,0,4,0,0,0,1,0,0,,,114,0,1.25
Schsc,10,C,5,0,0,0,2,0,1,0,3,0,1,229,0,1.4
Schsc,10,C,6,0,1,0,0,0,0,,,,,116,0,0.333333333
Andge,11,IF,1,0,3,0,2,2,5,0,0,0,0,225,0.4,2
Andge,11,IF,2,0,0,0,0,0,0,0,1,3,2,229,0.6,0.6
Andge,11,IF,3,1,0,0,4,0,5,,,,,222,0.333333333,3
Andge,11,IF,4,0,0,41,0,0,0,0,0,0,3,261,8.2,0.6
Andge,11,IF,5,0,1,0,0,0,2,0,1,0,0,204,0,0.8
Andge,11,IF,6,0,1,0,0,3,0,0,0,0,0,204,0.6,0.2
Muhra,12,I,1,1,4,0,1,0,0,0,6,0,0,225,0.2,2.2
Muhra,12,I,2,1,1,0,2,0,3,0,15,0,1,241,0.2,4.4
Muhra,12,I,3,0,2,0,0,0,1,1,2,0,1,274,0.2,1.2
Muhra,12,I,4,0,6,0,0,0,0,0,1,0,0,191,0,1.4
Muhra,12,I,5,0,4,0,0,0,2,0,0,0,9,241,0,3
Muhra,12,I,6,0,1,3,2,0,7,0,2,0,0,197,0.6,2.4
Andge,13,IF,1,0,9,0,0,0,0,0,2,0,0,207,0,2.2
Andge,13,IF,2,0,0,1,0,0,0,0,0,,,272,0.25,0
Andge,13,IF,3,0,4,0,1,0,0,0,2,,,292,0,1.75
Andge,13,IF,4,0,0,0,2,0,0,0,0,2,0,165,0.4,0.4
Andge,13,IF,5,0,2,2,0,0,1,0,5,1,0,195,0.6,1.6
Andge,13,IF,6,0,2,0,0,0,0,0,1,,,193,0,0.75
Asctu,14,C,1,3,0,0,0,0,0,1,0,0,2,80,0.8,0.4
Asctu,14,C,2,5,0,15,0,0,0,0,0,0,0,65,4,0
Asctu,14,C,3,2,0,0,0,0,0,0,0,0,1,60,0.4,0.2
Asctu,14,C,4,6,0,0,1,1,0,0,0,0,0,55,1.4,0.2
Sornu,15,I,1,0,0,0,2,3,3,0,0,0,0,310,0.6,1
Sornu,15,I,2,2,4,1,1,0,5,,,,,350,1,3.333333333
Sornu,15,I,3,2,10,0,3,3,2,,,,,226,1.666666667,5
Sornu,15,I,4,0,20,0,2,0,4,,,,,245,0,8.666666667
Asctu,16,I,1,0,2,0,1,1,0,0,0,0,0,86,0.2,0.6
Asctu,16,I,2,0,5,3,2,1,1,0,0,0,0,58,0.8,1.6
Asctu,16,I,3,0,0,0,0,0,1,0,0,0,0,61,0,0.2
Asctu,16,I,4,0,0,0,0,0,1,0,0,0,0,90,0,0.2
Asctu,16,I,5,0,0,2,0,0,0,2,0,1,0,73,1,0
Asctu,16,I,6,0,0,0,2,0,0,0,0,15,2,86,3,0.8
Monfi,17,IF,2,0,1,30,0,0,0,0,0,0,5,60,6,1.2
Spohe,18,I,3,0,0,0,0,,,,,,,64,0,0
Astaz,19,C,1,3,4,3,0,92,0,,,,,39,32.66666667,1.333333333
Astaz,19,C,2,35,0,27,0,0,0,1,3,65,0,21,25.6,0.6
Astaz,19,C,3,5,0,2,0,15,0,43,0,,,28,16.25,0
Astaz,19,C,4,3,0,55,0,1,0,12,0,62,5,40,26.6,1
Astaz,19,C,5,3,0,40,0,0,0,20,0,4,1,26,13.4,0.2
Rudhi,20,I,1,0,1,0,0,0,1,0,0,,,104,0,0.5
Rudhi,20,I,2,1,1,0,1,0,0,2,0,0,0,49,0.6,0.4
Rudhi,20,I,3,4,0,0,0,0,0,0,0,,,37,1,0
Rudhi,20,I,4,1,0,0,1,3,5,2,5,,,47,1.5,2.75
Rudhi,20,I,5,1,3,0,3,0,0,,,,,62,0.333333333,2
Agafo,21,I,1,0,2,50,2,10,3,25,0,,,34,21.25,1.75
Agafo,21,I,4,0,2,0,0,0,0,,,,,53,0,0.666666667
Andge,22,I,1,0,0,0,0,0,1,,,,,185,0,0.333333333
Andge,22,I,2,0,5,0,3,,,,,,,208,0,4
Andge,22,I,3,0,2,0,0,0,0,0,1,0,4,276,0,1.4
Andge,22,I,4,1,3,0,1,0,4,,,,,254,0.333333333,2.666666667
Andge,22,I,5,0,2,0,0,0,0,,,,,131,0,0.666666667
Andge,22,I,6,3,2,0,2,0,1,0,0,,,207,0.75,1.25
Bougr,23,I,1,0,0,0,0,0,0,0,1,0,0,232,0,0.2
Bougr,23,I,2,0,1,0,0,0,0,0,2,0,1,243,0,0.8
Bougr,23,I,3,0,0,0,0,0,0,5,2,,,119,1.25,0.5
Bougr,23,I,4,0,1,0,0,0,0,0,0,0,0,174,0,0.2
Bougr,23,I,5,0,0,0,0,0,0,,,,,104,0,0
Bougr,23,I,6,0,2,0,0,0,0,0,0,,,91,0,0.5
Boucu,24,I,1,0,2,0,1,0,0,0,0,0,0,107,0,0.6
Boucu,24,I,2,0,4,0,2,0,1,0,0,0,0,288,0,1.4
Boucu,24,I,3,0,4,0,1,0,0,0,0,0,2,273,0,1.4
Boucu,24,I,4,0,5,0,0,0,0,0,0,0,1,141,0,1.2
Boucu,24,I,5,0,2,0,0,0,1,0,0,0,0,186,0,0.6
Liaas,25,C,1,26,0,35,0,0,0,,,,,61,20.33333333,0
Sornu,26,C,1,6,7,0,2,0,0,0,0,,,270,1.5,2.25
Sornu,26,C,2,0,25,0,1,0,6,,,,,331,0,10.66666667
Sornu,26,C,3,0,0,0,2,0,3,,,,,277,0,1.666666667
Sornu,26,C,4,0,10,0,4,0,2,11,2,0,1,184,2.2,3.8
Panvi,27,IF,1,0,0,5,1,0,3,4,0,0,0,332,1.8,0.8
Panvi,27,IF,2,0,0,0,0,0,0,0,0,,,144,0,0
Panvi,27,IF,3,0,0,0,2,0,0,2,4,,,373,0.5,1.5
Panvi,27,IF,4,0,1,0,0,0,2,0,0,0,0,326,0,0.6
Panvi,27,IF,5,0,0,0,2,0,1,,,,,153,0,1
Panvi,27,IF,6,0,3,0,2,0,0,0,0,,,402,0,1.25
Boucu,28,I,1,0,0,0,0,0,0,0,0,0,1,38,0,0.2
Boucu,28,I,2,0,0,0,0,0,0,0,1,0,0,178,0,0.2
Boucu,28,I,3,0,0,0,2,0,0,0,1,0,0,186,0,0.6
Boucu,28,I,4,0,0,0,2,0,0,0,3,0,0,166,0,1
Boucu,28,I,5,0,0,2,0,0,1,0,0,0,0,64,0.4,0.2
Asctu,29,C,1,27,0,1,0,4,0,0,0,0,0,34,6.4,0
Asctu,29,C,2,3,2,1,4,0,0,3,0,0,0,77,1.4,1.2
Asctu,29,C,4,0,0,10,0,0,2,5,0,2,0,75,3.4,0.4
Asctu,29,C,5,0,0,0,0,12,0,0,0,0,0,92,2.4,0
Asctu,29,C,6,0,0,0,0,0,0,0,0,0,0,35,0,0
Astaz,31,IF,1,0,0,4,1,2,0,0,3,1,2,46,1.4,1.2
Astaz,31,IF,2,0,0,0,0,3,2,,,,,38,1,0.666666667
Astaz,31,IF,4,2,9,3,0,6,0,0,0,4,0,42,3,1.8
Astaz,31,IF,5,0,0,0,0,0,0,3,5,0,0,21,0.6,1
Asctu,32,I,3,1,0,0,0,0,1,4,0,0,0,70,1,0.2
Asctu,32,I,4,0,0,0,0,14,0,0,0,0,0,65,2.8,0
Asctu,32,I,6,0,0,0,0,0,0,1,0,3,0,66,0.8,0
Ascsy,33,C,1,30,0,0,5,,,,,,,87,15,2.5
Asctu,34,IF,1,2,0,0,0,0,0,4,0,0,0,70,1.2,0
Asctu,34,IF,2,0,1,0,0,0,0,0,2,1,0,60,0.2,0.6
Asctu,34,IF,3,0,0,0,0,1,0,0,0,0,0,87,0.2,0
Asctu,34,IF,5,4,0,3,0,0,0,0,0,0,0,93,1.4,0
Asctu,34,IF,6,0,0,1,0,0,0,0,1,0,1,91,0.2,0.4
Schsc,35,I,1,0,0,0,4,0,0,0,0,0,0,151,0,0.8
Schsc,35,I,2,0,2,1,1,0,1,0,2,2,3,141,0.6,1.8
Schsc,35,I,3,0,1,0,1,0,0,0,1,1,4,168,0.2,1.4
Schsc,35,I,4,2,6,0,2,0,5,0,1,0,3,245,0.4,3.4
Schsc,35,I,5,3,0,0,1,0,1,0,0,0,0,100,0.6,0.4
Schsc,36,IF,1,0,0,0,2,0,0,0,0,3,1,123,0.6,0.6
Schsc,36,IF,2,0,0,0,0,0,0,0,2,0,0,192,0,0.4
Schsc,36,IF,4,0,3,0,0,0,0,0,0,0,2,155,0,1
Schsc,36,IF,5,0,1,0,1,2,0,0,0,0,0,198,0.4,0.4
Schsc,36,IF,6,0,0,1,2,0,0,0,0,0,0,133,0.2,0.4
Bougr,37,IF,1,0,0,0,0,0,1,0,0,0,0,282,0,0.2
Bougr,37,IF,2,0,0,0,0,0,0,0,0,0,0,278,0,0
Bougr,37,IF,3,0,0,0,0,0,0,2,0,0,0,294,0.4,0
Bougr,37,IF,5,0,0,0,0,0,1,0,0,0,0,168,0,0.2
Bougr,37,IF,6,0,0,0,0,0,1,0,0,0,0,224,0,0.2
Sornu,38,IF,1,0,0,0,2,0,0,0,0,0,1,332,0,0.6
Sornu,38,IF,2,5,0,0,0,0,1,0,1,0,1,284,1,0.6
Sornu,38,IF,3,1,0,0,1,1,1,0,0,0,0,317,0.4,0.4
Sornu,38,IF,4,0,0,0,0,0,0,0,0,0,0,341,0,0
Sornu,40,C,1,0,4,0,8,0,22,0,7,0,30,359,0,14.2
Sornu,40,C,2,0,6,5,0,0,0,0,4,,,278,1.25,2.5
Sornu,40,C,3,0,11,0,0,62,0,40,6,0,3,243,20.4,4
Sornu,40,C,4,1,4,0,0,0,0,,,,,188,0.333333333,1.333333333
Monfi,41,C,4,1,0,57,0,4,0,1,0,0,0,65,12.6,0
Ascsy,42,IF,1,0,0,0,0,0,0,0,0,0,0,73,0,0
Ascsy,42,IF,3,3,1,0,0,0,0,0,0,0,0,64,0.6,0.2
Schsc,43,IF,1,0,2,1,1,0,1,0,0,0,2,184,0.2,1.2
Schsc,43,IF,2,0,0,0,1,0,0,0,0,0,1,91,0,0.4
Schsc,43,IF,3,0,0,0,0,0,3,0,1,0,0,99,0,0.8
Schsc,43,IF,4,0,0,0,0,0,0,0,0,0,0,150,0,0
Schsc,43,IF,5,0,1,0,1,0,2,0,0,0,0,114,0,0.8
Schsc,43,IF,6,0,1,0,2,0,0,0,0,0,3,217,0,1.2
Boucu,44,IF,1,0,1,0,0,0,0,0,0,0,0,176,0,0.2
Boucu,44,IF,2,0,2,0,0,0,0,30,0,0,0,143,6,0.4
Boucu,44,IF,3,0,0,0,0,0,1,0,0,0,0,166,0,0.2
Boucu,44,IF,4,0,0,0,0,0,0,3,1,0,0,168,0.6,0.2
Boucu,44,IF,5,0,0,0,0,0,0,0,1,0,1,135,0,0.4
Andge,45,C,1,0,3,0,1,4,3,0,1,,,226,1,2
Andge,45,C,2,23,2,0,2,5,7,,,,,246,9.333333333,3.666666667
Andge,45,C,4,0,3,0,0,5,2,0,0,0,0,257,1,1
Andge,45,C,5,0,2,6,1,2,0,0,1,0,0,155,1.6,0.8
Andge,45,C,6,0,1,0,1,0,0,0,1,,,252,0,0.75
Liaas,47,C,4,1,0,0,0,,,,,,,14,0.5,0
Astaz,48,I,1,1,0,43,2,8,0,7,2,,,29,14.75,1
Astaz,48,I,2,0,0,2,4,,,,,,,56,1,2
Astaz,48,I,3,0,0,1,0,15,5,0,0,2,0,50,3.6,1
Astaz,48,I,5,4,0,10,7,4,0,,,,,33,6,2.333333333
Muhra,49,IF,1,0,1,0,0,0,0,0,3,0,1,206,0,1
Muhra,49,IF,2,0,3,0,0,30,0,,,,,146,10,1
Muhra,49,IF,3,0,2,0,0,0,1,0,0,0,3,212,0,1.2
Muhra,49,IF,4,0,0,0,2,0,7,0,3,0,0,292,0,2.4
Muhra,49,IF,5,0,0,0,0,0,1,0,0,,,163,0,0.25
Schsc,50,I,1,0,0,0,4,0,0,0,0,45,2,111,9,1.2
Schsc,50,I,2,1,1,0,0,0,1,0,0,,,119,0.25,0.5
Schsc,50,I,3,0,1,0,1,0,0,3,2,5,4,129,1.6,1.6
Schsc,50,I,4,0,5,0,0,0,1,3,1,0,0,232,0.6,1.4
Schsc,50,I,5,0,2,0,0,0,0,0,4,0,2,171,0,1.6
Schsc,50,I,6,0,1,0,3,1,2,0,2,0,0,114,0.2,1.6
Schsc,51,IF,1,0,1,0,0,0,0,0,0,0,0,133,0,0.2
Schsc,51,IF,2,0,0,0,0,0,0,0,1,1,1,197,0.2,0.4
Schsc,51,IF,3,0,2,0,0,0,0,1,0,0,1,149,0.2,0.6
Schsc,51,IF,5,0,0,0,0,1,0,0,0,0,1,101,0.2,0.2
Schsc,51,IF,6,0,0,0,1,0,0,0,0,0,0,106,0,0.2
Spohe,52,I,2,0,0,0,1,,,,,,,66,0,0.5
Spohe,52,I,3,0,2,0,0,0,0,0,0,0,0,95,0,0.4
Rudhi,54,I,1,0,0,0,0,,,,,,,39,0,0
Rudhi,54,I,2,0,0,2,0,4,0,,,,,48,2,0
Rudhi,54,I,4,0,1,0,0,0,0,,,,,27,0,0.333333333
Rudhi,54,I,6,3,2,0,0,0,0,,,,,41,1,0.666666667
Andge,55,C,2,1,5,0,1,0,1,,,,,217,0.333333333,2.333333333
Andge,55,C,3,1,2,3,2,2,1,,,,,145,2,1.666666667
Andge,55,C,4,2,2,0,0,0,0,0,1,,,141,0.5,0.75
Andge,55,C,5,50,1,0,0,0,0,0,2,,,196,12.5,0.75
Andge,55,C,6,8,3,0,0,0,0,0,0,,,207,2,0.75
Boucu,56,C,1,0,6,0,3,8,5,,,,,25,2.666666667,4.666666667
Boucu,56,C,2,0,0,0,2,0,0,0,0,0,4,220,0,1.2
Boucu,56,C,3,0,5,0,0,0,0,0,1,0,6,219,0,2.4
Boucu,56,C,4,5,1,8,1,0,3,2,1,10,0,182,5,1.2
Boucu,56,C,5,4,1,0,1,0,0,0,2,0,0,222,0.8,0.8
Achmi,58,C,1,3,0,,,,,,,,,18,3,0
Achmi,58,C,5,5,0,3,0,0,0,0,0,,,57,2,0
Achmi,58,C,6,5,0,40,0,94,0,89,0,,,73,57,0
Sornu,59,C,1,0,2,0,70,0,79,,,,,177,0,50.33333333
Sornu,59,C,2,7,4,7,5,0,0,,,,,255,4.666666667,3
Sornu,59,C,3,3,3,0,1,0,2,0,5,,,254,0.75,2.75
Sornu,59,C,4,0,6,0,8,,,,,,,334,0,7
Ascsy,60,I,1,3,5,12,2,0,1,0,6,,,99,3.75,3.5
Ascsy,60,I,2,0,9,0,1,0,0,0,0,0,0,59,0,2
Liaas,61,IF,3,3,0,0,2,0,11,,,,,126,1,4.333333333
Muhra,62,C,1,0,3,0,2,0,0,0,6,0,0,165,0,2.2
Muhra,62,C,4,0,3,0,1,,,,,,,201,0,2
Muhra,63,IF,1,0,0,0,2,0,0,0,3,0,0,240,0,1
Muhra,63,IF,2,0,0,3,4,0,0,0,1,,,218,0.75,1.25
Muhra,63,IF,3,1,0,0,0,0,0,0,0,0,0,196,0.2,0
Muhra,63,IF,4,2,0,0,0,0,3,,,,,230,0.666666667,1
Muhra,63,IF,6,0,6,0,0,0,2,,,,,198,0,2.666666667
Asctu,64,IF,2,0,0,1,0,0,0,1,0,0,0,73,0.4,0
Asctu,64,IF,4,0,0,0,0,1,0,3,0,0,0,74,0.8,0
Asctu,64,IF,5,22,0,3,0,0,0,0,0,1,0,77,5.2,0
Asctu,64,IF,6,6,0,0,0,1,0,0,0,0,0,73,1.4,0
Asctu,65,I,1,0,0,0,1,0,0,0,1,0,0,72,0,0.4
Asctu,65,I,3,0,0,0,0,0,2,0,0,0,0,91,0,0.4
Asctu,65,I,4,0,1,0,2,0,0,0,0,0,0,66,0,0.6
Asctu,65,I,6,2,0,0,0,1,1,0,0,3,0,59,1.2,0.2
Panvi,66,C,1,2,20,0,0,4,5,,,,,407,2,8.333333333
Panvi,66,C,2,2,1,0,5,70,1,,,,,250,24,2.333333333
Panvi,66,C,3,0,25,2,5,,,,,,,77,1,15
Panvi,66,C,4,50,0,1,6,0,2,2,2,40,0,218,18.6,2
Panvi,66,C,5,0,0,0,6,0,1,0,3,0,7,165,0,3.4
Panvi,66,C,6,0,1,4,0,6,3,,,,,192,3.333333333,1.333333333
Astaz,67,I,1,0,0,0,0,9,20,12,0,4,2,44,5,4.4
Astaz,67,I,2,1,1,6,0,0,3,0,2,0,4,41,1.4,2
Astaz,67,I,4,9,0,17,0,0,0,0,1,26,10,45,10.4,2.2
Astaz,67,I,5,1,0,3,0,0,0,1,3,,,22,1.25,0.75
Astaz,67,I,6,30,10,16,0,0,0,0,0,11,0,67,11.4,2
Astaz,68,C,1,40,12,5,2,1,1,0,0,29,2,31,15,3.4
Astaz,68,C,3,52,0,0,1,0,0,10,60,,,20,15.5,15.25
Astaz,68,C,4,9,3,0,2,63,0,,,,,31,24,1.666666667
Astaz,68,C,5,4,0,0,1,55,5,,,,,15,19.66666667,2
Astaz,68,C,6,27,11,2,3,4,0,0,0,,,36,8.25,3.5
Astaz,69,IF,1,3,5,5,0,3,1,,,,,82,3.666666667,2
Astaz,69,IF,2,0,1,0,5,0,0,2,1,0,0,50,0.4,1.4
Astaz,69,IF,3,0,0,34,5,0,0,4,2,,,24,9.5,1.75
Astaz,69,IF,4,5,6,0,0,2,2,16,1,,,43,5.75,2.25
Astaz,69,IF,5,7,2,12,3,0,0,16,3,,,56,8.75,2
Astaz,69,IF,6,1,0,0,0,45,0,25,0,,,39,17.75,0
Achmi,70,C,1,13,0,4,0,30,0,72,0,66,0,49,37,0
Achmi,70,C,2,8,0,4,0,10,0,0,20,,,50,5.5,5
Achmi,70,C,5,55,0,,,,,,,,,6,55,0
Ascsy,71,C,1,0,3,0,0,0,12,,,,,96,0,5
Sornu,72,IF,1,0,3,5,6,0,0,0,0,,,287,1.25,2.25
Sornu,72,IF,2,2,2,0,2,0,0,,,,,334,0.666666667,1.333333333
