treatment,species,growth,ef,cilower,ciupper,meaninsectdamageC,meanfungaldamageC,meaninsectfungaldamageC
I,A. millefolium,Forb,2.346676331,0.877217774,6.277676952,38.695,1.96,40.655
IF,A. millefolium,Forb,1.67029457,0.623130071,4.477209621,38.695,1.96,40.655
I,A. foeniculum,Forb,1.372590733,0.375686598,5.012826863,18.08,2.79,20.87
IF,A. foeniculum,Forb,0.836942423,0.21459559,3.267417769,18.08,2.79,20.87
I,A. gerardi,Grass,2.247907987,0.392585866,12.85843479,2.72,7.67,10.39
IF,A. gerardi,Grass,4.540331377,0.599295788,34.32932688,2.72,7.67,10.39
I,A. syriaca,Forb,3.452159579,0.822834658,14.48335415,3.835,3.92,7.755
IF,A. syriaca,Forb,1.665291195,0.391409873,7.092231287,3.835,3.92,7.755
I,A. tuberosa,Forb,2.372632267,0.816278241,6.896403198,7.82,0.52,8.34
IF,A. tuberosa,Forb,2.08965713,0.706098876,6.190401826,7.82,0.52,8.34
I,A. azureus,Forb,0.443525492,0.092273342,2.129740199,19.805,4.54,24.345
IF,A. azureus,Forb,0.778800783,0.159294594,3.807603543,19.805,4.54,24.345
I,B. curtipendula,Grass,2.9153795,0.47378578,17.9035676,6.075,3.85,9.925
IF,B. curtipendula,Grass,0.820369853,0.180685017,3.728477599,6.075,3.85,9.925
I,B. gracilis,Grass,2.554866572,0.529405818,12.34190028,7.97,2.02,9.99
IF,B. gracilis,Grass,2.243416664,0.440872306,11.42724024,7.97,2.02,9.99
I,L. aspera,Forb,0.692809645,0.130811228,3.665629205,20.545,3.83,24.375
IF,L. aspera,Forb,1.624175009,0.361316852,7.293620048,20.545,3.83,24.375
I,M. fistulosa,Forb,2.216656545,0.161540402,30.41694943,11,0.4,11.4
IF,M. fistulosa,Forb,8.775818137,0.810584246,95.10675524,11,0.4,11.4
I,M. racemosa,Grass,2.496775252,0.681131427,9.143104604,1.41,4.57,5.98
IF,M. racemosa,Grass,2.056488671,0.612626394,6.910209806,1.41,4.57,5.98
I,P. virgatum,Grass,16.29730896,1.653674861,160.6133622,5.165,11.36,16.525
IF,P. virgatum,Grass,1.881369558,0.491152799,7.199416636,5.165,11.36,16.525
I,R. hirta,Forb,3.400763618,1.209249598,9.55438298,13.79,5.02,18.81
IF,R. hirta,Forb,4.13712044,1.463747605,11.69311258,13.79,5.02,18.81
I,S. scoparium,Grass,0.472366553,0.097004297,2.302510386,1.4,4.89,6.29
IF,S. scoparium,Grass,1.468145442,0.264477261,8.149853894,1.4,4.89,6.29
I,S. nutans,Grass,0.943649947,0.163327156,5.452095335,2.185,14.06,16.245
IF,S. nutans,Grass,0.896730417,0.147194564,5.46847618,2.185,14.06,16.245
I,S. heterolepsis,Grass,1.34044279,0.318223918,5.646297384,5.795,3.63,9.425
IF,S. heterolepsis,Grass,0.70539313,0.149868056,3.320116923,5.795,3.63,9.425
