treatment,time,ef,cilower,ciupper
I,0,1,1,1
IF,0,1,1,1
I,1,1.200814408,0.804929969,1.791404591
IF,1,1.160672989,0.780359943,1.728061051
I,2.14,1.304735059,0.897627596,1.898378309
IF,2.14,1.11627807,0.771051586,1.622551646
I,3,1.27634433,0.869358235,1.873859111
IF,3,1.215310986,0.829443736,1.778908546
I,4.71,1.465212085,1.0010005,2.146846454
IF,4.71,1.402140503,0.958869781,2.05032845
I,5.71,1.573024187,1.089806328,2.270499838
IF,5.71,1.528061594,1.059714996,2.203396426
I,6.57,1.748922703,1.220181966,2.504276824
IF,6.57,1.637220521,1.145681894,2.339646852
I,7.71,1.814844883,1.272521035,2.588296662
IF,7.71,1.678666956,1.179393119,2.389298958
