treatment,time,ef,cilower,ciupper
I,0,0,0,0
IF,0,0,0,0
I,1,0.012893,-0.04210346,0.06788866
IF,1,0.027509,-0.02695585,0.08197397
I,2.14,0.0382281,-0.02080863,0.09726475
IF,2.14,0.0265464,-0.03191915,0.08501203
I,3,0.0339893,-0.02694285,0.0949215
IF,3,0.0349315,-0.02541133,0.0952744
I,4.71,0.058065,-0.002586557,0.1187175
IF,4.71,0.057023,-0.003042213,0.11708878
I,5.71,0.068085,0.009615098,0.12655525
IF,5.71,0.071266,0.013361928,0.12917101
I,6.57,0.0860452,0.028223528,0.14386678
IF,6.57,0.0813991,0.024136555,0.13866172
I,7.71,0.09252,0.034754079,0.15028733
IF,7.71,0.08618,0.028967017,0.14338304
