species,funcgroup,PC1aboveground,PC2aboveground,SLA,N,effectsizeI,logeffectsizeI,effectsizeIF,logeffectsizeIF
Achillea millefolium,Forb,-0.462098746,-0.287366919,15.811,1.562310214,2.346676331,0.370453193,1.67029457,0.222793069
Agastache foeniculum,Forb,0.697728052,0.153253147,16.43170093,1.316333333,1.372590733,0.137541062,0.836942423,-0.077304418
Andropogon gerardi,Grass,0.419447885,-2.028512427,18.069493,1.280259756,2.247907987,0.35177853,4.540331377,0.657087551
Asclepias syriaca,Forb,-3.599326207,-0.653701699,21.14210219,3.223,3.452159579,0.538090863,1.665291195,0.221490186
Asclepias tuberosa,Forb,-2.582420771,2.393560483,16.09413706,2.619666667,2.372632267,0.375230432,2.08965713,0.320075033
Aster azureus,Forb,-0.806751133,-0.303265097,25.26340098,1.602907407,0.443525492,-0.353081414,0.778800783,-0.108573621
Bouteloua curtipendula,Grass,1.805134112,0.696950779,7.548090755,1.683,2.9153795,0.464695096,0.820369853,-0.085990307
Bouteloua gracilis,Grass,0.714638939,0.430871425,20.44390382,1.841,2.554866572,0.407368224,2.243416664,0.350909941
Liatris aspera,Forb,1.275761738,0.846555846,8.1534942,1.40264,0.692809645,-0.159386075,1.624175009,0.210632824
Monarda fistulosa,Forb,0.376940902,0.06265803,15.01920737,1.837,2.216656545,0.345698408,8.775818137,0.943287615
Muhlenbergia racemosa,Grass,-0.937939012,-0.255226494,31.89085833,2.52615,2.496775252,0.397379451,2.056488671,0.313126321
Panicum virgatum,Grass,-0.49539962,-1.185523742,26.0895509,1.6298875,16.29730896,1.212115899,1.881369558,0.274474113
Rudbeckia hirta,Forb,-1.151980944,-0.244522102,29.17401232,1.7444,3.400763618,0.531576446,4.13712044,0.616698164
Schizachyrium scoparium,Grass,1.394780113,0.540407038,12.38710476,1.24271,0.472366553,-0.325720861,1.468145442,0.166769081
Sorghastrum nutans,Grass,1.584554777,0.238154949,8.982187192,1.335056604,0.943649947,-0.02518908,0.896730417,-0.047338099
Sporobolus heterolepis,Grass,1.766929914,-0.404293218,11.8242942,0.904,1.34044279,0.127248283,0.70539313,-0.151568774
