species,specieslowbar,genus,family,species.relative,genus.relative,effectsizeI,effectsizeIF
Achillea millefolium,Achillea_millefolium,Achillea,Asteraceae,,,2.346676331,1.67029457
Agastache foeniculum,Agastache_foeniculum,Agastache,Lamiaceae,,,1.372590733,0.836942423
Andropogon gerardii,Andropogon_gerardii,Andropogon,Poaceae,,,2.247907987,4.540331377
Asclepias syriaca,Asclepias_syriaca,Asclepias,Apocynaceae,,,3.452159579,1.665291195
Asclepias tuberosa,Asclepias_tuberosa,Asclepias,Apocynaceae,,,2.372632267,2.08965713
Symphyotrichum oolentangiense,Symphyotrichum_oolentangiense,Symphyotrichum,Asteraceae,,Symphyotrichum,0.443525492,0.778800783
Bouteloua curtipendula,Bouteloua_curtipendula,Bouteloua,Poaceae,,,2.9153795,0.820369853
Chondrosum gracile,Chondrosum_gracile,Chondrosum,Poaceae,,,2.554866572,2.243416664
Liatris aspera,Liatris_aspera,Liatris,Asteraceae,,,0.692809645,1.624175009
Monarda fistulosa,Monarda_fistulosa,Monarda,Lamiaceae,,,2.216656545,8.775818137
Muhlenbergia racemosa,Muhlenbergia_racemosa,Muhlenbergia,Poaceae,,,2.496775252,2.056488671
Panicum virgatum,Panicum_virgatum,Panicum,Poaceae,,,16.29730896,1.881369558
Rudbeckia hirta,Rudbeckia_hirta,Rudbeckia,Asteraceae,,Echinacea,3.400763618,4.13712044
Schizachyrium scoparium,Schizachyrium_scoparium,Schizachyrium,Poaceae,,,0.472366553,1.468145442
Sorghastrum nutans,Sorghastrum_nutans,Sorghastrum,Poaceae,,,0.943649947,0.896730417
Sporobolus heterolepis,Sporobolus_heterolepis,Sporobolus,Poaceae,,,1.34044279,0.70539313
