plotnumber,richness
1,11
2,13
3,14
4,13
5,13
6,9
7,10
8,9
9,12
10,14
11,14
12,12
13,9
14,12
15,12
16,14
17,12
18,10
19,15
20,12
21,10
22,8
23,10
24,15
25,14
26,12
27,12
28,12
29,9
30,7
31,11
32,10
33,12
34,11
35,12
36,15
37,11
38,10
39,12
40,10
41,11
42,12
43,13
44,14
45,10
46,15
47,7
48,12
49,14
50,12
51,13
52,11
53,14
54,11
55,12
56,13
57,12
58,13
59,12
60,9
61,11
62,12
63,8
64,11
65,9
66,10
67,10
68,10
69,12
70,12
71,8
72,12
73,10
74,10
75,11
76,12
77,11
78,10
79,10
80,10
81,7
82,8
83,13
84,11
85,12
86,11
87,11
88,10
89,10
90,9
91,9
92,8
93,7
94,8
95,11
96,8
97,7
98,7
99,7
100,11
101,13
102,7
103,10
104,8
105,7
106,9
107,9
108,10
109,10
110,8
111,8
112,9
113,5
114,5
115,7
116,7
117,9
118,5
119,11
120,14
121,5
122,7
123,5
124,5
125,6
126,4
127,7
128,9
129,5
130,6
131,5
132,6
133,7
134,6
135,6
136,8
137,9
138,5
139,6
140,6
141,9
142,5
143,6
144,6
145,13
146,11
147,17
148,10
149,11
150,14
151,10
152,13
153,15
154,13
155,12
156,12
157,13
158,14
159,11
160,13
161,12
162,12
163,10
164,16
165,13
166,15
167,17
168,17
169,16
170,15
171,11
172,18
173,15
174,15
175,16
176,14
177,15
178,11
179,11
180,12
181,12
182,13
183,12
184,12
185,12
186,11
187,13
188,13
189,10
190,11
191,10
192,13
193,14
194,14
195,14
196,11
197,13
198,14
199,14
200,7
201,13
202,13
203,15
204,14
205,12
206,12
207,10
208,11
209,11
210,13
211,13
212,14
213,12
214,10
215,9
216,13
217,15
218,13
219,14
220,15
221,11
222,10
223,11
224,12
225,15
226,13
227,14
228,14
229,12
230,12
231,10
232,12
233,12
234,13
235,12
236,11
237,9
238,11
239,11
240,9
241,12
242,13
243,9
244,10
245,11
246,10
247,12
248,11
249,10
250,12
251,11
252,11
253,10
254,7
255,12
256,16
257,12
258,10
259,13
260,15
261,13
262,12
263,13
264,13
265,9
266,9
267,13
268,15
269,9
270,11
271,12
272,13
273,11
274,11
275,6
276,12
277,10
278,13
279,7
280,9
281,10
282,8
283,9
284,9
285,10
286,10
287,12
288,10
