form,species,ef_I,logef_I,ef_IF,logef_IF,regions,logregions
forb,A. millefolium,2.346676331,0.370453193,1.67029457,0.222793069,136,2.136720567
forb,A. foeniculum,1.372590733,0.137541062,0.836942423,-0.077304418,10,1.041392685
forb,A. syriaca,3.452159579,0.538090863,1.665291195,0.221490186,37,1.579783597
forb,A. tuberosa,2.372632267,0.375230432,2.08965713,0.320075033,2,0.477121255
forb,A. azureus,0.443525492,-0.353081414,0.778800783,-0.108573621,0,0
forb,L. aspera,0.692809645,-0.159386075,1.624175009,0.210632824,1,0.301029996
forb,M. fistulosa,2.216656545,0.345698408,8.775818137,0.943287615,6,0.84509804
forb,R. hirta,3.400763618,0.531576446,4.13712044,0.616698164,104,2.021189299
grass,A. gerardi,2.247907987,0.35177853,4.540331377,0.657087551,0,0
grass,B. curtipendula,2.9153795,0.464695096,0.820369853,-0.085990307,6,0.84509804
grass,B. gracilis,2.554866572,0.407368224,2.243416664,0.350909941,9,1
grass,M. racemosa,2.496775252,0.397379451,2.056488671,0.313126321,7,0.903089987
grass,P. virgatum,16.29730896,1.212115899,1.881369558,0.274474113,30,1.491361694
grass,S. scoparium,0.472366553,-0.325720861,1.468145442,0.166769081,4,0.698970004
grass,S. nutans,0.943649947,-0.02518908,0.896730417,-0.047338099,2,0.477121255
grass,S. heterolepsis,1.34044279,0.127248283,0.70539313,-0.151568774,0,0
