species,treatment,stage,replicate,plantnumber,plotnumber ,awMPD,moisture,lightavailable,heightinitial,date,survived
Panvi,I,E,a,1,1,96.76059536,7.125,83.20474777,397,1,1
Panvi,I,E,a,2,1,96.76059536,7.125,83.20474777,266,1,1
Panvi,I,E,a,3,1,96.76059536,7.125,83.20474777,251,1,1
Panvi,I,E,a,4,1,96.76059536,7.125,83.20474777,351,1,1
Panvi,I,E,a,5,1,96.76059536,7.125,83.20474777,282,1,1
Panvi,I,E,a,6,1,96.76059536,7.125,83.20474777,361,1,1
Liaas,IF,E,a,1,2,266.2661781,6.6,80.75936378,78,1,0
Liaas,IF,E,a,2,2,266.2661781,6.6,80.75936378,10,1,0
Liaas,IF,E,a,3,2,266.2661781,6.6,80.75936378,33,1,1
Liaas,IF,E,a,4,2,266.2661781,6.6,80.75936378,14,1,1
Andge,I,E,a,1,3,97.87943041,6.025,59.401926,118,1,1
Andge,I,E,a,2,3,97.87943041,6.025,59.401926,212,1,1
Andge,I,E,a,3,3,97.87943041,6.025,59.401926,146,1,1
Andge,I,E,a,4,3,97.87943041,6.025,59.401926,230,1,1
Andge,I,E,a,5,3,97.87943041,6.025,59.401926,247,1,1
Andge,I,E,a,6,3,97.87943041,6.025,59.401926,90,1,1
Bougr,I,E,a,1,4,107.4811673,7.5,69.86089645,244,1,1
Bougr,I,E,a,2,4,107.4811673,7.5,69.86089645,235,1,1
Bougr,I,E,a,3,4,107.4811673,7.5,69.86089645,143,1,1
Bougr,I,E,a,4,4,107.4811673,7.5,69.86089645,303,1,1
Bougr,I,E,a,5,4,107.4811673,7.5,69.86089645,236,1,1
Bougr,I,E,a,6,4,107.4811673,7.5,69.86089645,256,1,1
Muhra,I,E,a,1,5,122.5813036,6.025,69.50074147,265,1,1
Muhra,I,E,a,2,5,122.5813036,6.025,69.50074147,225,1,1
Muhra,I,E,a,3,5,122.5813036,6.025,69.50074147,200,1,1
Muhra,I,E,a,4,5,122.5813036,6.025,69.50074147,231,1,1
Muhra,I,E,a,5,5,122.5813036,6.025,69.50074147,245,1,1
Muhra,I,E,a,6,5,122.5813036,6.025,69.50074147,315,1,1
Ascsy,IF,E,a,1,6,257.9498414,3.65,62.46746486,67,1,0
Ascsy,IF,E,a,2,6,257.9498414,3.65,62.46746486,59,1,1
Ascsy,IF,E,a,3,6,257.9498414,3.65,62.46746486,125,1,0
Ascsy,IF,E,a,4,6,257.9498414,3.65,62.46746486,98,1,1
Monfi,IF,E,a,1,7,268.5579337,6.625,56.59251221,30,1,1
Monfi,IF,E,a,2,7,268.5579337,6.625,56.59251221,11,1,1
Monfi,IF,E,a,3,7,268.5579337,6.625,56.59251221,40,1,0
Monfi,IF,E,a,4,7,268.5579337,6.625,56.59251221,22,1,0
Ascsy,I,E,a,1,8,269.5964525,6.425,59.6214511,85,1,1
Ascsy,I,E,a,2,8,269.5964525,6.425,59.6214511,81,1,1
Ascsy,I,E,a,3,8,269.5964525,6.425,59.6214511,82,1,1
Ascsy,I,E,a,4,8,269.5964525,6.425,59.6214511,66,1,0
Panvi,IF,E,a,1,9,101.1568795,6.025,72.15521762,376,1,0
Panvi,IF,E,a,2,9,101.1568795,6.025,72.15521762,298,1,1
Panvi,IF,E,a,3,9,101.1568795,6.025,72.15521762,174,1,1
Panvi,IF,E,a,4,9,101.1568795,6.025,72.15521762,343,1,1
Panvi,IF,E,a,5,9,101.1568795,6.025,72.15521762,331,1,1
Panvi,IF,E,a,6,9,101.1568795,6.025,72.15521762,310,1,1
Schsc,C,E,a,1,10,86.95800707,6.6,65.60678325,118,1,1
Schsc,C,E,a,2,10,86.95800707,6.6,65.60678325,135,1,1
Schsc,C,E,a,3,10,86.95800707,6.6,65.60678325,85,1,1
Schsc,C,E,a,4,10,86.95800707,6.6,65.60678325,150,1,1
Schsc,C,E,a,5,10,86.95800707,6.6,65.60678325,109,1,1
Schsc,C,E,a,6,10,86.95800707,6.6,65.60678325,91,1,1
Andge,IF,E,a,1,11,141.4314636,5.825,68.25902335,210,1,1
Andge,IF,E,a,2,11,141.4314636,5.825,68.25902335,175,1,1
Andge,IF,E,a,3,11,141.4314636,5.825,68.25902335,225,1,1
Andge,IF,E,a,4,11,141.4314636,5.825,68.25902335,145,1,1
